item,price
汤 Soup,header
1. 三鲜汤  Mix Meat Seafood with Vegetable Soup (Small),7.95
Mix Meat Seafood with Vegetable Soup (Large),11.95
2. 酸辣汤  Hot & Sour Soup (Small),7.95
Hot & Sour Soup (Large),11.95
3. 海味紫菜汤 Dried Seaweed with Seafood Soup (Small),8.95
Dried Seaweed with Seafood Soup (Large),12.95
4. 青菜肉丝汤 Shredded Pork with Vegetable Soup (Small),7.95
Shredded Pork with Vegetable Soup (Large),11.95
5. 海鲜汤 Seafood Tofu Soup (Small),8.95, 
Seafood Tofu Soup (Large),13.95
5A. 香菜豆腐鱼片汤 Tofu Fish with Cilantro Soup (Small),9.95
Tofu Fish with Cilantro Soup (Large),14.95
5B. 西湖牛肉羹 West Lake Beef Soup (Small),8.95
West Lake Beef Soup (Large),13.95
5C. 番茄肉丝汤 Shredded Meat with Tomato Soup (Small),8.95
Shredded Meat with Tomato Soup (Large),12.95
鸡/鸭 Chicken/Duck,header
6. 冬菇炆鸡 Braised Checken with Black Mushrooms,14.95
7. 四川豆瓣鸡 Chicken with Bean Paste Chili Sauce,14.95
8. 湖南辣子鸡 Hunan Dry Chili Chicken,14.95
9. 宫保鸡 Kung Pao Chicken,14.95
10. 青江菜炒鸡片 Chicken with Baby Bok Choy,14.95
11. 椰汁咖喱鸡 Curry Chicken,14.95
12. 卤水鸭 House Special Duck,14.95
13. 脆皮炸子鸡 Deep Fried Crispy Chicken,15.95
14. 霸王鸡  Steamed Chicken with Ginger & Onions,15.95
15. 盐焗沙姜鸡 Steamed Chicken with Salt & Ginger,15.95
牛/羊 Beef/Lamb,header
16. 咖喱牛肉 Curry Beff,15.95
17. 豉椒牛肉 Beef with Green Pepper in Black Bean Sauce,15.95
18. 青江菜炒牛肉 Beef with Baby Bok Choy,15.95
19. 番茄牛肉 Beef with Tomato,15.95
20. 水煮牛肉 Boiled Beef in Szechuan Sauce,16.95
21. 五香牛腩 Braised Beef Brisket,16.95
22. 蚝油牛肉 Beef with Oyster Sauce,15.95
23. 四川豆瓣牛肉 Beef with Black Bean Paste Chili Sauce,16.95
24. 白菜牛肉 Beef with Bok Choy (Napa),15.95
25. 铁板黑椒牛柳丝 Beef with Black Pepper Sauce,16.95
26. 九层塔炒羊肉 Basil Lamb,16.95
27. 酱爆羊肉 Lamb with Honh Sue Sauce,16.95
猪 Pork,header
28. 蜜汁叉烧 B.B.Q Pork,14.95
29. 京都肉 Peking Pork,14.95
30. 干煸肉丝四季豆 Pork with Green Bean,14.95
31. 香酥猪扒 Pork Chop with Chili & Spiced Salt,14.95
32. 鱼香肉丝 Shredded Pork with Szechuan Sauce,14.95
33. 宫保肉丁 Kung Pao Pork,14.95
34. 无骨猪手 Steamed Pork Elbow,14.95
35. 四川回锅肉 Szechuan Double Cooked Pork,15.95
海鲜 Seafood,header
36. 红烧鱼 Whole Fish w/ Hong Sue Sauce,Market Price
37. 豆瓣全鱼 Wholed Fish w/ Broad Bean Paste Sauce,Market Price
38. 重庆水煮鱼 Chongqing Stayle Fish in Spicy Soup,16.95
39. 九层塔虾 Jumbo Shrimp with Basil,16.95
40. 椒盐虾/鲜鱿 Salt Baked Shrimp or Squid with Chili,16.95
41. 豉汁炒青口 Green Shell Mussels with Blak Bean Sauce,16.95
