item,price
麻辣香锅 Spicy Numbing Stir-fry Pot,header
(锅底免费，任选三种食材以上),description
(Choose Three or more ingredients from below),description
肉类 (Meat),header
五花肉 （Pork Belly),7.55
牛肉 （Beef),8.55
鸡胗 （Chicken Gizzard),6.95
牛肚 （Cow Stomach),8.55
鸭翅 （Duck Wings),6.95
羊肉 （Lamb),8.55
香肠 （Chinese Sausage),6.55
猪肚 （Pig Stomach),8.55
鸡肉 （Chicken),6.95
鸭脖 （Duck Neck),6.95
海鲜 (Seafood),header
大虾 （Shrimp）,8.55
带子 （Scallop),8.55
蟹柳 （Crab Meat),6.95
鱿鱼 （Squid),8.55
包心鱼丸 （Fish Ball),7.55
墨鱼仔 （Cuttlefish),8.55
素菜 (Vegetables),header
莲藕 （Lotus Root),7.55
豆腐 （Tofu),6.55
芹菜 （Celery),4.95
青椒 （Green Pepper),4.95
大白菜 （Napa Cabbage),4.95
西兰花 （Broccoli),4.95
海带 （Seaweed),7.55
木耳 （Wood Ear Fungus),6.55
雪豆 （ Snow Peas),4.95
香菇 （Mushroom),6.55
菜花 （Cauliflower),5.55
土豆 （Potato),5.55
辣度 (Spice Level),header
微辣（Mild)🌶️,description
少辣（Medium)🌶️🌶️,description
中辣 （Spicy)🌶️🌶️🌶️,description
加辣 （Extra Spicy)🌶️🌶️🌶️🌶️,description
